id,first_visit,which_programs/balik,which_programs/wood,which_programs/sketch,which_programs/harvesting,which_programs/corporate,which_programs/other,program_specify,reasons,gender,age,race,race_specify,social_cohesion_1,social_cohesion_2,social_cohesion_3,social_cohesion_4_rev,social_cohesion_5_rev,soc_1,soc_2,soc_3,soc_4,soc_5,soc_6,soc_7,soc_8,cns_1,cns_2,cns_3,cns_4,cns_5,cns_6,cns_7,cns_8,cns_9,cns_10,imi_1,imi_2,imi_3_rev,imi_4,imi_5,imi_6,imi_7,imi_8,self_est_1,self_est_2_rev,self_est_3,self_est_4_rev,self_eff_1,self_eff_2,self_eff_3,self_eff_4,self_eff_5,self_eff_6,self_eff_7,self_eff_8,social_cohesion_4_rev_coded,social_cohesion_5_rev_coded,cns_4_rev_coded,self_est_2_rev_coded,self_est_4_rev_coded,imi_3_rev_coded,imi_4_rev_coded,commitment,frequency_visits,balik,corporate,wood,sketch,harvesting,others,number_programs,program_percent,SoCoh,SOC,CNS,IMI,Self_Est,Self_Eff,IM,PComp,PChoice,RC1,RC2,clusters
33,2017-04-01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Help as facilitator or participate in Touchwood workshops,Female,58,1,0,6,5,5,4,3,5,5,4,4,4,5,5,5,6,6,6,4,6,6,5,6,6,6,6,5,3,4,6,5,5,5,5,4,5,4,5,5,6,6,6,6,5,5,4,5,4,4,4,5,4,33,40,0,0,1,0,0,0,1,0.16666666666666666,5,4.625,5.7,5.125,4.5,5.5,5,5,5.5,-0.37486772321010053,0.6179605449897029,4
34,2017-05-01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Wook works,Male,70,1,0,6,5,6,4,4,5,5,5,5,5,5,5,5,4,5,6,4,5,5,5,5,5,5,6,6,4,4,6,5,5,5,6,4,5,4,5,5,5,5,5,5,6,5,4,4,4,4,4,4,4,31.00000000000003,200,0,0,1,0,0,0,1,0.16666666666666666,5,5,4.9,5.125,4.75,5.125,5,5.5,5,-0.8672492158528143,4.567715376769022,3
35,2017-06-01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Farmers market and ground zero market,"I see a meaningful impacg i can make on the community through GUI, as well as for self interest in nature",Female,19,1,0,6,5,7,1,2,6,6,6,6,6,6,6,6,6,6,6,2,6,6,4,5,6,6,5,5,3,1,7,7,7,7,6,5,6,3,5,5,6,6,6,6,4,6,7,6,6,3,5,5,7,30,50,1,1,1,1,1,1,6,1,6.2,6,5.7,6.25,5,5.5,7,6,5,2.5851589254736487,0.0529425065791794,2
36,2017-06-01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,teaching and socialising,Male,67,1,0,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,5,4,5,4,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,30.999999999999986,50,0,0,1,0,0,0,1,0.16666666666666666,4,4,4.2,4.125,4.5,5,4,4.5,4,-0.44317032103503934,0.8624825302714197,4
37,2017-10-01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Provide assistance in the area of farming.,Male,66,1,0,6,5,7,1,2,6,7,7,7,5,5,7,6,4,6,7,3,4,7,4,6,4,4,7,5,1,2,6,6,7,5,4,2,7,1,4,5,5,5,6,6,5,4,7,6,5,6,7,7,6,26.000000000000014,120,0,0,1,0,0,0,1,0.16666666666666666,6.2,6.25,5.1000000000000005,6.125,6,5,6.25,5,7,-0.7411504840427177,2.5853573474249925,4
38,2017-10-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Friend’s daughter birday,Friend organize,Female,47,1,0,6,6,6,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,6,6,6,5,4,4,4,4,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,26.000000000000014,1,0,0,0,0,0,1,1,0.16666666666666666,5.2,4,4.9,4.25,4.25,4,4.5,4,4,-0.4047145608206157,-0.3541273774631046,1
39,2017-11-01,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,basic woodworking class,Female,42,1,0,7,5,5,2,4,4,5,4,4,1,4,2,2,6,6,6,3,7,6,6,6,6,7,5,5,2,2,7,7,6,6,7,1,7,2,7,7,7,6,7,7,6,6,6,4,5,7,6,6,6,25.00000000000003,4,0,0,1,0,1,0,2,0.3333333333333333,5.4,3.25,6.1000000000000005,6,6.75,6.625,6.5,5.5,5.5,0.1764574419832652,-0.44292814039884987,1
40,2018-01-01,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,Kids-friendly and in nature,Female,47,1,0,7,5,5,1,2,6,6,3,4,1,4,5,5,5,5,6,1,5,3,7,6,6,7,7,6,2,1,7,7,7,2,3,5,5,6,6,5,6,6,6,5,5,5,7,6,7,3,2,6,7,24.999999999999986,2,1,0,1,0,0,0,2,0.3333333333333333,6,4.25,5.7,6.125,3.25,5.5,7,4,6.5,0.18211182724750138,-0.492331245018818,1
41,2018-02-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Connecting with the people there. Giving back in little ways.,Female,35,1,0,7,7,7,1,1,6,6,6,6,6,6,6,6,4,5,5,3,6,5,6,6,6,5,7,6,1,1,7,6,6,5,5,3,5,3,6,6,6,6,6,5,5,5,7,7,5,5,5,7,7,22.00000000000003,5,1,0,0,0,0,0,1,0.16666666666666666,7,6,5.300000000000001,6.375,5,5.625,6.5,5.5,7,-0.4960846743565963,-0.26030824385941476,1
42,2018-02-01,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,The people that I have met in GUI.,Female,21,1,0,7,7,7,1,1,7,7,7,7,4,7,7,7,7,7,7,5,4,5,6,6,5,5,5,5,3,2,7,7,7,7,5,5,4,4,4,4,5,4,4,4,4,4,7,7,3,3,4,5,6,22.00000000000003,40,1,1,0,0,0,0,2,0.3333333333333333,7,6.625,5.5,6.125,4,4.125,6.75,6,5,0.014632499971368867,0.44258743603338985,1
